date,price,il,regime
2024-11-13,3192.595947265625,-0.004459271295708556,Medium
2024-11-14,3058.94873046875,-0.0026755192178284926,Medium
2024-11-15,3103.04052734375,-0.0032224421910252987,Medium
2024-11-16,3133.27392578125,-0.003621628050125003,Medium
2024-11-17,3075.66162109375,-0.0028778030251732645,Medium
2024-11-18,3207.8564453125,-0.004685963046488495,Medium
2024-11-19,3111.384033203125,-0.003330679235377776,Medium
2024-11-20,3072.18798828125,-0.00283524915116784,Medium
2024-11-21,3361.053955078125,-0.007195535151942711,High
2024-11-22,3331.600830078125,-0.006681686940357534,Medium
2024-11-23,3396.223388671875,-0.007827346928801937,Medium
2024-11-24,3363.659912109375,-0.007241677857689255,Medium
2024-11-25,3413.5439453125,-0.008145583644509347,Medium
2024-11-26,3326.517333984375,-0.006594444034599634,Medium
2024-11-27,3657.249267578125,-0.013067744115217383,High
2024-11-28,3579.8115234375,-0.01141975526259309,High
2024-11-29,3593.494384765625,-0.011705635796709801,High
2024-11-30,3705.705322265625,-0.014134571697215215,High
2024-12-01,3711.1650390625,-0.014256409702742778,High
2024-12-02,3644.198486328125,-0.012784985160071205,High
2024-12-03,3620.711669921875,-0.012281165314746212,High
2024-12-04,3841.3310546875,-0.017252631353830372,High
2024-12-05,3811.00830078125,-0.016539583521473444,High
2024-12-06,4005.810546875,-0.02126280064492425,Medium
2024-12-07,4002.692626953125,-0.02118470868504707,Medium
2024-12-08,4005.70458984375,-0.021260145595018987,Medium
2024-12-09,3718.6904296875,-0.014424875028981266,Medium
2024-12-10,3631.833740234375,-0.01251893027925255,Medium
2024-12-11,3832.822021484375,-0.0170516580677742,Medium
2024-12-12,3883.1015625,-0.01824889716815037,Medium
2024-12-13,3911.205322265625,-0.01892799334042572,Medium
2024-12-14,3868.4052734375,-0.01789656512977944,Medium
2024-12-15,3951.941162109375,-0.019924359772673705,Medium
2024-12-16,3987.48095703125,-0.020804798624894705,Medium
2024-12-17,3886.76611328125,-0.018337052917654417,Medium
2024-12-18,3618.791259765625,-0.012240261386663676,Medium
2024-12-19,3417.927978515625,-0.008226858184629426,Medium
2024-12-20,3472.553466796875,-0.009263428833249376,Medium
2024-12-21,3337.222412109375,-0.006778664253575206,Medium
2024-12-22,3277.53515625,-0.005776298082887044,Medium
2024-12-23,3415.785400390625,-0.008187101108627304,Medium
2024-12-24,3492.0498046875,-0.009643789815775183,Medium
2024-12-25,3493.2353515625,-0.009667090625298802,Medium
2024-12-26,3331.225830078125,-0.006675236498077219,Medium
2024-12-27,3328.9169921875,-0.006635573293062302,Medium
2024-12-28,3397.90234375,-0.007857993340918523,Medium
2024-12-29,3349.513427734375,-0.0069925082252288995,Medium
2024-12-30,3356.392578125,-0.007113270448477982,Medium
2024-12-31,3332.53173828125,-0.006697709755345338,Medium
2025-01-01,3353.504150390625,-0.0070624711405737894,Medium
2025-01-02,3451.392578125,-0.008856707666378139,Medium
2025-01-03,3605.009765625,-0.011948031676312865,Medium
2025-01-04,3657.706787109375,-0.013077692601448976,Medium
2025-01-05,3634.103759765625,-0.012567639400996589,Low
2025-01-06,3688.611328125,-0.013755220951649827,Low
2025-01-07,3381.577392578125,-0.007561867198084826,Medium
2025-01-08,3326.329345703125,-0.006591226044827758,Medium
2025-01-09,3219.4306640625,-0.004860858639964882,Medium
2025-01-10,3267.489990234375,-0.0056136695126185465,Low
2025-01-11,3282.2177734375,-0.00585271783185104,Low
2025-01-12,3265.951171875,-0.005588914920284682,Low
2025-01-13,3135.499755859375,-0.0036517719721216313,Low
2025-01-14,3223.6845703125,-0.00492577348862,Low
2025-01-15,3450.53759765625,-0.00884041042759387,Medium
2025-01-16,3308.34521484375,-0.006286121674821676,Medium
2025-01-17,3474.107177734375,-0.009293544288050959,Medium
2025-01-18,3305.78955078125,-0.006243209201691524,Medium
2025-01-19,3208.96435546875,-0.004702594497102308,Medium
2025-01-20,3278.035400390625,-0.005784443590724275,Medium
2025-01-21,3327.40625,-0.006609668523571255,Medium
2025-01-22,3240.224609375,-0.005181380374424394,Medium
2025-01-23,3334.714111328125,-0.006735329167010584,Medium
2025-01-24,3309.554931640625,-0.00630647302354248,Medium
2025-01-25,3317.26953125,-0.0064368421583250734,Low
2025-01-26,3236.13427734375,-0.00511769747813795,Medium
2025-01-27,3178.92041015625,-0.0042599554967150954,Low
2025-01-28,3077.112548828125,-0.0028956565186459837,Medium
2025-01-29,3112.9990234375,-0.003351800762112167,Medium
2025-01-30,3247.780029296875,-0.005299819336139655,Medium
2025-01-31,3298.26513671875,-0.006117515321927169,Medium
2025-02-01,3118.32861328125,-0.003421894453566665,Medium
2025-02-02,2868.69287109375,-0.0008450401736534996,Medium
2025-02-03,2884.566650390625,-0.0009621381275034535,Medium
2025-02-04,2735.05126953125,-0.00014914107612373773,Medium
