sigma,alpha,expected_il
0.49473684210526314,0.14,0.02597980755701911
0.49473684210526314,0.16,0.020290080687879616
0.49473684210526314,0.18,0.02025407578932704
0.49473684210526314,0.2,0.010101536501367898
0.49473684210526314,0.22,0.011874991280853444
0.49473684210526314,0.24000000000000002,0.010033314713692027
0.49473684210526314,0.26,0.00020821498818411865
0.49473684210526314,0.28,0.0009326679059928381
0.49473684210526314,0.30000000000000004,-0.0013805663974609224
0.49473684210526314,0.32,-0.003217674523018103
0.49473684210526314,0.33999999999999997,-0.005056454363129626
0.49473684210526314,0.36,-0.008631752355934788
0.49473684210526314,0.38,-0.010493235664345731
0.49473684210526314,0.4,-0.013881683837964839
0.49473684210526314,0.42000000000000004,-0.01339529762084042
0.49473684210526314,0.44000000000000006,-0.015004968282417671
0.49473684210526314,0.45999999999999996,-0.0185152906839383
0.49473684210526314,0.48,-0.01838638152674617
0.49473684210526314,0.5,-0.021948504386362803
0.49473684210526314,0.52,-0.023649058232231398
0.49473684210526314,0.54,-0.025222584942938723
0.49473684210526314,0.56,-0.028065634547787925
0.49473684210526314,0.58,-0.02971078487851013
0.49473684210526314,0.6,-0.029794450677573144
0.49473684210526314,0.62,-0.03223315487391833
0.49473684210526314,0.64,-0.03102087915604941
0.49473684210526314,0.66,-0.030398405454775002
0.49473684210526314,0.6799999999999999,-0.03205894415794765
0.49473684210526314,0.7,-0.033077646512901536
0.49473684210526314,0.72,-0.036186987309698625
0.49473684210526314,0.74,-0.03987989233436896
0.49473684210526314,0.76,-0.035707935019051534
0.49473684210526314,0.78,-0.03814628300192789
0.49473684210526314,0.8,-0.0323505830103053
0.49473684210526314,0.82,-0.042036603048346055
0.49473684210526314,0.84,-0.0371601501456902
0.49473684210526314,0.86,-0.04852701281763769
0.49473684210526314,0.88,-0.03723271855870475
0.49473684210526314,0.9,-0.041790582863878115
0.5368421052631579,0.1,0.01985740541862131
0.5368421052631579,0.12000000000000001,0.02343844852317033
0.5368421052631579,0.14,0.02456691888263854
0.5368421052631579,0.16,0.024018244559108715
0.5368421052631579,0.18,0.02407711574051284
0.5368421052631579,0.2,0.012720563190675268
0.5368421052631579,0.22,0.008159444926386743
0.5368421052631579,0.24000000000000002,0.007747177952129216
0.5368421052631579,0.26,0.0034749106732730253
0.5368421052631579,0.28,-0.0005179957381216051
0.5368421052631579,0.30000000000000004,-0.00228159788884879
0.5368421052631579,0.32,-0.002604827817271222
0.5368421052631579,0.33999999999999997,-0.00868208253980406
0.5368421052631579,0.36,-0.009780848525291042
0.5368421052631579,0.38,-0.013829258850779921
0.5368421052631579,0.4,-0.014775115575655943
0.5368421052631579,0.42000000000000004,-0.017063795241978184
0.5368421052631579,0.44000000000000006,-0.018479993925554095
0.5368421052631579,0.45999999999999996,-0.02024775760056273
0.5368421052631579,0.48,-0.022947484952200704
0.5368421052631579,0.5,-0.02679748014904272
0.5368421052631579,0.52,-0.027323325213633405
0.5368421052631579,0.54,-0.028227731931698353
0.5368421052631579,0.56,-0.03200256217544508
0.5368421052631579,0.58,-0.03436976102010151
0.5368421052631579,0.6,-0.03692730149036402
0.5368421052631579,0.62,-0.03767477604037646
0.5368421052631579,0.64,-0.034746679876754255
0.5368421052631579,0.66,-0.04072816493535772
0.5368421052631579,0.6799999999999999,-0.04341407890206303
0.5368421052631579,0.7,-0.039594714484502205
0.5368421052631579,0.72,-0.0417126236924412
0.5368421052631579,0.74,-0.04413905660548812
0.5368421052631579,0.76,-0.05286968195390379
0.5368421052631579,0.78,-0.040204168443803985
0.5368421052631579,0.8,-0.0523605118641247
0.5368421052631579,0.82,-0.0451778684259279
0.5368421052631579,0.84,-0.05646182486495157
0.5368421052631579,0.86,-0.05120111478979497
0.5368421052631579,0.88,-0.041912362859903414
0.5368421052631579,0.9,-0.055131678790782665
0.5789473684210527,0.1,0.031077110949089267
0.5789473684210527,0.12000000000000001,0.027586160986698107
0.5789473684210527,0.14,0.02093863974901096
0.5789473684210527,0.16,0.016967794215134804
0.5789473684210527,0.18,0.023207157123289284
0.5789473684210527,0.2,0.013616175314148231
0.5789473684210527,0.22,0.015176156395218044
0.5789473684210527,0.24000000000000002,0.01394541946952286
0.5789473684210527,0.26,0.00944850521518174
0.5789473684210527,0.28,1.5625005856576556e-06
0.5789473684210527,0.30000000000000004,-0.005251600926648719
0.5789473684210527,0.32,-0.005978086648441371
0.5789473684210527,0.33999999999999997,-0.009636083762062693
0.5789473684210527,0.36,-0.011626771780366972
0.5789473684210527,0.38,-0.015560364364963955
0.5789473684210527,0.4,-0.017514345599040155
0.5789473684210527,0.42000000000000004,-0.020059489926717473
0.5789473684210527,0.44000000000000006,-0.02187650501877279
0.5789473684210527,0.45999999999999996,-0.025374350185631896
0.5789473684210527,0.48,-0.028273343554525647
0.5789473684210527,0.5,-0.027322664291768717
0.5789473684210527,0.52,-0.031214356918950772
0.5789473684210527,0.54,-0.033966260363955426
0.5789473684210527,0.56,-0.03565710386112951
0.5789473684210527,0.58,-0.037949379332144234
0.5789473684210527,0.6,-0.04066259031040816
0.5789473684210527,0.62,-0.04327168972818449
0.5789473684210527,0.64,-0.04253018917701237
0.5789473684210527,0.66,-0.044038483953654124
0.5789473684210527,0.6799999999999999,-0.04484076009623071
0.5789473684210527,0.7,-0.05292013037276302
0.5789473684210527,0.72,-0.04597918979112421
